event_date,year,event_type,sub_event_type,actor1,actor2,country,admin1,notes,fatalities,PERIODO
2020-12-24,2020,Violence against civilians,Attack,Militia (Pro-Government),Civilians (China),China,Beijing,"On 24 December 2020, a female petitioner-cum-forced evictee from Qingyang district, Chengdu was beaten in the head and waist by unknown individuals on the N90E92 night train from Beijing to her hometown. She had visited the capital to inquire about her past interceptions and detentions at various police stations. After her visit to the Fuyoujie Police Station in Xicheng district (Beijing), she was transferred her to a 'relief centre' (for petitioners), after which she was escorted to the night train by government officials from Qingyang and government-hired triad members. She was held at a farmhouse in Chaoyang Lake, Pujiang county on 25 Dec, then transferred to Dekang Psychiatric Hospital in Chengdu on 20 Jan 2021.",0,2020-Q4
2023-04-20,2023,Violence against civilians,Abduction/forced disappearance,Police Forces of China (2012-),Civilians (China),China,Hubei,"On 20 April 2023, a journalist became incommunicado, presumably after being taken away from his home in Wuhan, Hubei (coded to Jiang'an). He was known for his investigative pieces on corruptive acts of local government officials.",0,2023-Q2
2023-04-21,2023,Protests,Peaceful protest,Protesters (China),,China,Hong Kong,"On 21 April 2023, subdivided flat tenants and concern groups held placards and banners outside the government headquarters in Hong Kong - Central and Western to demand that the government enacts laws to regulate subdivided unit rent levels and restrict landlords' abilities to overcharge for utilities.",0,2023-Q2
2023-04-18,2023,Protests,Peaceful protest,Protesters (China),,China,Hong Kong,"On 18 April 2023, members of the Hong Kong Federation of Trade Unions, including two lawmakers, held placards and banners outside the legislative council in Hong Kong - Central and Western to demand that the government increases the penalty that employers have to pay for neglecting their employees' safety.",0,2023-Q2
2023-04-10,2023,Protests,Peaceful protest,Protesters (China),,China,Guangdong,"On 10 April 2023, around 400 to 500 property owners and residents held placards, chanted slogans and marched from the local office of the Public Complaints and Proposals Administration to a park in Futian district (Shenzhen, Guangdong). They were dissatisfied that the school places allocation system was unfairly skewed in favour of the districts where government officials lived, in prejudice against their district. When the demonstrators arrived at Futian district, police surrounded the demonstrators and escorted them back to the petitions office.",0,2023-Q2
2023-04-14,2023,Protests,Peaceful protest,Protesters (China),,China,Guangdong,"On 14 April 2023, around 600 to 700 property owners and residents, along with their children, held placards, chanted slogans and marched from the local office of the Public Complaints and Proposals Administration to a park in Futian district (Shenzhen, Guangdong). They were dissatisfied that the school places allocation system was unfairly skewed in favour of the districts where government officials lived, in prejudice against their district. When the demonstrators arrived at Futian district, police surrounded the demonstrators and escorted them back to the petitions office.",0,2023-Q2
2023-04-11,2023,Protests,Peaceful protest,Protesters (China),,China,Guangdong,"Around 11 April 2023 (as reported), around 400 to 500 property owners and residents held placards, chanted slogans and marched from the local office of the Public Complaints and Proposals Administration to a park in Futian district (Shenzhen, Guangdong). They were dissatisfied that the school places allocation system was unfairly skewed in favour of the districts where government officials lived, in prejudice against their district. When the demonstrators arrived at Futian district, police surrounded the demonstrators and escorted them back to the petitions office.",0,2023-Q2
2023-04-12,2023,Protests,Peaceful protest,Protesters (China),,China,Guangdong,"Around 12 April 2023 (as reported), around 400 to 500 property owners and residents held placards, chanted slogans and marched from the local office of the Public Complaints and Proposals Administration to a park in Futian district (Shenzhen, Guangdong). They were dissatisfied that the school places allocation system was unfairly skewed in favour of the districts where government officials lived, in prejudice against their district. When the demonstrators arrived at Futian district, police surrounded the demonstrators and escorted them back to the petitions office.",0,2023-Q2
2023-04-18,2023,Violence against civilians,Attack,Militia (Pro-Government),Civilians (China),China,Beijing,"On 18 April 2023, unidentified persons hired by the QIanjiang government beat up two QIanjiang-based female petitioners in Beijing - Fengtai, before taking them back to Qianjiang. One of the female petitioners was slapped in the mouth and attacked in the shoulder, and had to be hospitalised the day after. The petitioners had gone to Beijing with plans to file petitions against their local government.",0,2023-Q2
2023-04-21,2023,Protests,Peaceful protest,Protesters (China),,China,Guangdong,"On 21 April 2023, delivery workers gathered and went on a strike in Shanwei, Guangdong (coded to Chengqu). They were dissatisfied that the delivery platform that they worked at did not give them sufficient salary and subsidies.",0,2023-Q2
2023-04-28,2023,Protests,Peaceful protest,Protesters (China),,China,Hong Kong,"On 28 April 2023, representatives of the Association for the Rights of Industrial Accident Victims held a banner and gave a petitioner letter to an official outside the government headquarters in Hong Kong - Central and Western to demand that the government designates 28 April as Workers' Memorial Day and sets up a monument to commemorate those who had died from industrial accidents.",0,2023-Q2
2022-08-23,2022,Protests,Protest with intervention,Protesters (China),Police Forces of China (2012-),China,Shanghai,"On 23 August 2022, a few hundred investors gathered and chanted slogans outside a company building in Yangpu district, Shanghai to demand that the company pay back the interests it owed to them. The police forcibly dragged some of them into a bus. While doing so, minor scuffles between both sides occurred, causing some to be injured.",0,2022-Q3
2022-08-14,2022,Protests,Peaceful protest,Protesters (China),,China,Hainan,"On 14 August 2022, a large group of tourists gathered and chanted slogans like 'I need to go home' and 'let us talk to the manager' at the doorway of a hotel in Jiyang district (Sanya, Hainan). They were dissatisfied about being stranded in Sanya due to its sudden coronavirus lockdown.",0,2022-Q3
2022-07-07,2022,Violence against civilians,Sexual violence,Police Forces of China (2012-),Civilians (China),China,Jilin,"Around 7 July 2022 (as reported), 4 local police officers tortured a female Falun Gong practitioner by raping her, poking her nipples with a tool and shoving a lit cigarette into her nose when she was placed in incommunicado detention in an unknown location in Jilin city (coded to Chuanying, Jilin). Before being sent there, she was taken from her family on 12 June 2022, and was detained in room 102 at Shui Bu Hotel in Longtan district for a month. The police were trying to get a hard drive password from her.",0,2022-Q3
2022-09-10,2022,Protests,Peaceful protest,Protesters (China),,China,Guizhou,"On 10 September 2022, up to a thousand residents gathered and protested outside their residential blocks in Nanming district (Guiyang, Guizhou) to protest against coronavirus lockdowns, which had lasted for more than 10 days. 400 police officers were sent to the scene to maintain order. The management office of the property withheld fresh food and mooncakes from residents, instead selling them at a high price.",0,2022-Q3
2021-03-16,2021,Violence against civilians,Attack,Police Forces of China (2012-),Civilians (China),China,Jilin,"On 16 March 2021, police beat up a Falun Gong practitioner and pushed him off the window, causing his death, after they found Falun Gong materials when raiding his home in Yanji city (Yanbian, Jilin).",1,2021-Q1
2019-11-06,2019,Violence against civilians,Attack,Police Forces of China (2012-),Civilians (China),China,Heilongjiang,"On 6 November 2019, two prisoners, on the orders of a correctional officer, beat a female Falun Gong practitioner to death in a prison in Xiangfang district, Haerbin, Heilongjiang. During the attack, the officer put his foot on her face to keep her in place. She had been sentenced to jail for four years in 2017, and three years in 2014, for practicing Falun Gong.",1,2019-Q4
2022-09-27,2022,Protests,Peaceful protest,Protesters (China),,China,Guangdong,"On 27 September 2022, residents gathered and protested in their neighborhood in Longgang district (Shenzhen, Guangdong), demanding that the government lifts local coronavirus lockdowns. The neighborhood had been locked down for a few days and the residents had trouble getting sufficient food.",0,2022-Q3
2022-09-06,2022,Violence against civilians,Abduction/forced disappearance,Police Forces of China (2012-),Civilians (China),China,Beijing,"On 6 September 2022, Gansu police detained a female petitioner from Gansu in a hostel in Gansu, after taking her away in Beijing (coded to Beijing). She frequents Beijing to file petitions against the local government.",0,2022-Q3
2022-09-30,2022,Violence against civilians,Attack,Police Forces of China (2012-),Civilians (China),China,Gansu,"On 30 September 2022, a local police officer attacked a female petitioner with a rock, causing her left eye and brow to be injured, 10 meters from a police station in Wushan county (Tianshui, Gansu). She was on the way to leave the station after having been intercepted on her way to Beijing to file petitions and detained in a hostel since 6 September 2022 (coded separately).",0,2022-Q3
