event_date,year,event_type,sub_event_type,actor1,actor2,country,admin1,notes,fatalities,PERIODO
2018-05-11,2018,Protests,Peaceful protest,Protesters (Iran),,Iran,West Azerbaijan,"Protests were held across Iran--including Tehran, Mashhad, Orumiyeh, Khoy, Miandoab, Naqadeh, Shahin, Chaldoran, and parts of Kermanshah Province--on May 11 after Friday prayers in response to the US withdrawal from JCPOA. Some protesters burned the US and Israeli flags.",0,2018-Q2
2018-05-11,2018,Protests,Peaceful protest,Protesters (Iran),,Iran,Razavi Khorasan,"Protests were held across Iran--including Tehran, Mashhad, Orumiyeh, Khoy, Miandoab, Naqadeh, Shahin, Chaldoran, and parts of Kermanshah Province--on May 11 after Friday prayers in response to the US withdrawal from JCPOA. Some protesters burned the US and Israeli flags.",0,2018-Q2
2018-05-11,2018,Protests,Peaceful protest,Protesters (Iran),,Iran,Kermanshah,"Protests were held across Iran--including Tehran, Mashhad, Orumiyeh, Khoy, Miandoab, Naqadeh, Shahin, Chaldoran, and parts of Kermanshah Province--on May 11 after Friday prayers in response to the US withdrawal from JCPOA. Some protesters burned the US and Israeli flags.",0,2018-Q2
2019-09-04,2019,Protests,Peaceful protest,Protesters (Iran),,Iran,Qazvin,04 September 2019. About 200 workers of Alborz Metering Company protested in Qazvin against several months of unpaid salaries and benefits.,0,2019-Q3
2019-08-24,2019,Protests,Peaceful protest,Protesters (Iran),,Iran,Gilan,"24 August 2019. About 270 laid-off workers of Shafarood Forest Company held a protest in Rezvanshahr against 6-8 months of unpaid salaries, and demanded to return to work.",0,2019-Q3
2019-08-22,2019,Protests,Peaceful protest,Protesters (Iran),,Iran,Gilan,"22 August 2019. About 270 laid-off workers of Shafarood Forest Company held a protest in Rezvanshahr against 6-8 months of unpaid salaries, and demanded to return to work.",0,2019-Q3
2019-09-02,2019,Protests,Peaceful protest,Protesters (Iran),,Iran,Qazvin,02 September 2019. About 200 workers of Alborz Metering Company protested in Qazvin against several months of unpaid salaries and benefits.,0,2019-Q3
2019-09-05,2019,Protests,Peaceful protest,Protesters (Iran),,Iran,Khuzestan,"05 September 2019. About 400 workers of Haft Tapeh Sugarcane Company, located outside Shush, protested against several months of unpaid salaries.",0,2019-Q3
2019-09-01,2019,Protests,Peaceful protest,Protesters (Iran),,Iran,Bushehr,01 September 2019. Workers at phase 12 South Pars gas field in Kangan held a protest against unpaid benefits and bonuses.,0,2019-Q3
2019-08-16,2019,Protests,Peaceful protest,Protesters (Iran),,Iran,Gilan,"16 August 2019. About 270 laid-off workers of Shafarood Forest Company held a protest in Rezvanshahr against 6-8 months of unpaid salaries, and demanded to return to work.",0,2019-Q3
2019-08-21,2019,Protests,Peaceful protest,Protesters (Iran),,Iran,Gilan,"21 August 2019. About 270 laid-off workers of Shafarood Forest Company held a protest in Rezvanshahr against 6-8 months of unpaid salaries, and demanded to return to work.",0,2019-Q3
2019-09-03,2019,Protests,Peaceful protest,Protesters (Iran),,Iran,Qazvin,03 September 2019. About 200 workers of Alborz Metering Company protested in Qazvin against several months of unpaid salaries and benefits.,0,2019-Q3
2019-09-03,2019,Protests,Peaceful protest,Protesters (Iran),,Iran,Markazi,03 September 2019. A protest was held by workers of Azar Ab Company in Arak against 2 months of unpaid salaries and job insecurity.,0,2019-Q3
2019-08-20,2019,Protests,Peaceful protest,Protesters (Iran),,Iran,Gilan,"20 August 2019. About 270 laid-off workers of Shafarood Forest Company held a protest in Rezvanshahr against 6-8 months of unpaid salaries, and demanded to return to work.",0,2019-Q3
2019-08-19,2019,Protests,Peaceful protest,Protesters (Iran),,Iran,Gilan,"19 August 2019. About 270 laid-off workers of Shafarood Forest Company held a protest in Rezvanshahr against 6-8 months of unpaid salaries, and demanded to return to work.",0,2019-Q3
2019-08-23,2019,Protests,Peaceful protest,Protesters (Iran),,Iran,Gilan,"23 August 2019. About 270 laid-off workers of Shafarood Forest Company held a protest in Rezvanshahr against 6-8 months of unpaid salaries, and demanded to return to work.",0,2019-Q3
2019-09-07,2019,Protests,Peaceful protest,Protesters (Iran),,Iran,Khuzestan,"07 September 2019. About 400 workers of Haft Tapeh Sugarcane Company, located outside Shush, protested against several months of unpaid salaries.",0,2019-Q3
2019-09-01,2019,Protests,Peaceful protest,Protesters (Iran),,Iran,Qazvin,01 September 2019. About 200 workers of Alborz Metering Company protested in Qazvin against several months of unpaid salaries and benefits.,0,2019-Q3
2019-09-04,2019,Protests,Peaceful protest,Protesters (Iran),,Iran,Markazi,04 September 2019. A protest was held by workers of Azar Ab Company in Arak against 2 months of unpaid salaries and job insecurity.,0,2019-Q3
2019-09-03,2019,Protests,Peaceful protest,Protesters (Iran),,Iran,Tehran,03 September 2019. A protest was held in Rey by a group of shop owners against problems with obtaining permission to build new shops.,0,2019-Q3
2019-08-31,2019,Protests,Peaceful protest,Protesters (Iran),,Iran,Ilam,31 August 2019. A group of citizens from Eyvan held a protest in Ilam against the environmental damage caused through mining activity in their county.,0,2019-Q3
