event_date,year,event_type,sub_event_type,actor1,actor2,country,admin1,notes,fatalities,PERIODO
2018-05-13,2018,Riots,Violent demonstration,Rioters (Russia),Police Forces of Russia (2000-),Russia,Moscow Oblast,"Between 13 and 14 May 2018, four workers of a building company Megapolis were arrested by the police forces of Russia in Klimovsk as they demonstrated against they employers who failed to pay their salaries. The strike has been going on for weeks. One of the worker was arrested for allegedly tieing up a guard.",0,2018-Q2
2018-05-14,2018,Protests,Protest with intervention,Protesters (Russia),Police Forces of Russia (2000-),Russia,Novosibirsk,"On 14 May 2018, three fans of the Sibir Novosibirsk hockey club were detained in Novosibirsk by law enforcement officers as they were on their way to take part in an agreed rally on the construction site of the new Ice Sport Palace. Law enforcement proceeded to the detention for allegedly changing the route of the rally while the organiser claim that protesters were simply on their way from the metro station to the agreed rally place. About 35 persons participated in the action.",0,2018-Q2
2018-05-16,2018,Protests,Peaceful protest,Protesters (Russia),,Russia,Moscow Oblast,A spontaneous gathering took place in Volokolamsk on 16 May 2018 following strong smell emanating from the Yadrovo landfill. About 60 persons gathered in the center.,0,2018-Q2
2018-05-17,2018,Violence against civilians,Attack,Unidentified Armed Group (Russia),Civilians (Russia),Russia,Krasnoyarsk,"On 17 May 2018, a volunteer at Navalny's party headquarters, Ilya Danilenko, was beaten by four men in Krasnoyarsk. The assault occurred as the volunteer was engaged in solo picketing. There are suspicions that members of the Centre E unit of the police of Russia were behind the attack but this was not confirmed.",0,2018-Q2
2018-05-17,2018,Violence against civilians,Attack,Unidentified Armed Group (Russia),Civilians (Russia),Russia,Novosibirsk,"On 17 May 2018, activists of the movement Civil Patrol were beaten in Novosibirsk by unidentified individuals on their way to a protest where protesters demanded the city of Novosibirsk to disclose the names of the companies that owed more than 3 billion rubles for renting land plots.",0,2018-Q2
2018-05-17,2018,Protests,Protest with intervention,Protesters (Russia),Unidentified Armed Group (Russia),Russia,Novosibirsk,"On 17 May 2018, protesters that gathered near the city hall of Novosibirsk to demand local authorities to disclose the names of the companies that owed more than 3 billion rubles for renting land plots were assaulted by unidentified individuals. The police forces who were watching the protest did not intervene.",0,2018-Q2
2018-05-18,2018,Explosions/Remote violence,Grenade,Unidentified Armed Group (Russia),Military Forces of Russia (2000-),Russia,Samara,"On 18 May 2018, a man threw a grenade at two soldiers in the Borsk Rayon of the Samara Oblast, about 1 kilometer away from a military depots who was protected by the soldiers. One military was wounded. 1 injury, 0 fatalities. The report does not specify whether the attacker was apprehended.",0,2018-Q2
2018-05-18,2018,Protests,Peaceful protest,Protesters (Russia),,Russia,Krasnodar,"On 18 May 2018, following the murder of a woman, citizens of Psebay participated in a spontaneous rally in Psebay to protest against the result of the murder investigation, which they believe did not take into consideration all elements and aimed at protecting teenagers with family ties to local power structures. The head of Psebay district Pavel Zharkov resigned shortly after on 21 May 2018 and was replaced by Aleksey Bukin.",0,2018-Q2
2018-05-18,2018,Protests,Peaceful protest,Protesters (Russia),,Russia,Novgorod,"On 18 May 2018, members of the Yabloko party organised a picket in Veliky Novgorod trading centre Rus against the rise of public transportation fares.",0,2018-Q2
2018-05-19,2018,Protests,Peaceful protest,Protesters (Russia),,Russia,Novgorod,"On 19 May 2018, members of the Yabloko party organised a picket in the Gagarinsky market in Veliky Novgorod to protest against the rise of public transportation fares.",0,2018-Q2
