fonte,paese_iso3,periodo,nome_file,url_originale,data_download,note
acled,SDN,2018-2024,SDN_eventi-trimestrali_2018-2024.csv,aggregated data - political violence events by country-month-year,2026-07-07,
acled,SSD,2018-2024,SSD_eventi-trimestrali_2018-2024.csv,aggregated data - political violence events by country-month-year,2026-07-07,
acled,YEM,2018-2024,YEM_eventi-trimestrali_2018-2024.csv,aggregated data - political violence events by country-month-year,2026-07-07,
acled,SYR,2018-2024,SYR_eventi-trimestrali_2018-2024.csv,aggregated data - political violence events by country-month-year,2026-07-07,
acled,ETH,2018-2024,ETH_eventi-trimestrali_2018-2024.csv,aggregated data - political violence events by country-month-year,2026-07-07,
acled,VEN,2018-2024,VEN_eventi-trimestrali_2018-2024.csv,aggregated data - political violence events by country-month-year,2026-07-07,
acled,USA,2018-2024,USA_eventi-trimestrali_2018-2024.csv,aggregated data - political violence events by country-month-year,2026-07-07,
acled,ISR,2018-2024,ISR_eventi-trimestrali_2018-2024.csv,aggregated data - political violence events by country-month-year,2026-07-07,
acled,KOR,2018-2024,KOR_eventi-trimestrali_2018-2024.csv,aggregated data - political violence events by country-month-year,2026-07-07,
acled,SAU,2018-2024,SAU_eventi-trimestrali_2018-2024.csv,aggregated data - political violence events by country-month-year,2026-07-07,
acled,ITA,2018-2024,ITA_eventi-trimestrali_2018-2024.csv,aggregated data - political violence events by country-month-year,2026-07-07,
acled,EST,2018-2024,EST_eventi-trimestrali_2018-2024.csv,aggregated data - political violence events by country-month-year,2026-07-07,
acled,RUS,2018-2024,RUS_vittime-annuali_2018-2024.csv,aggregated data - reported fatalities by country-year,2026-07-07,
acled,CHN,2018-2024,CHN_vittime-annuali_2018-2024.csv,aggregated data - reported fatalities by country-year,2026-07-07,
acled,PRK,2018-2024,PRK_vittime-annuali_2018-2024.csv,aggregated data - reported fatalities by country-year,2026-07-07,
acled,IRN,2018-2024,IRN_vittime-annuali_2018-2024.csv,aggregated data - reported fatalities by country-year,2026-07-07,
acled,UKR,2018-2024,UKR_vittime-annuali_2018-2024.csv,aggregated data - reported fatalities by country-year,2026-07-07,
acled,SDN,2018-2024,SDN_vittime-annuali_2018-2024.csv,aggregated data - reported fatalities by country-year,2026-07-07,
acled,SSD,2018-2024,SSD_vittime-annuali_2018-2024.csv,aggregated data - reported fatalities by country-year,2026-07-07,
acled,YEM,2018-2024,YEM_vittime-annuali_2018-2024.csv,aggregated data - reported fatalities by country-year,2026-07-07,
acled,SYR,2018-2024,SYR_vittime-annuali_2018-2024.csv,aggregated data - reported fatalities by country-year,2026-07-07,
acled,ETH,2018-2024,ETH_vittime-annuali_2018-2024.csv,aggregated data - reported fatalities by country-year,2026-07-07,
acled,VEN,2018-2024,VEN_vittime-annuali_2018-2024.csv,aggregated data - reported fatalities by country-year,2026-07-07,
acled,USA,2018-2024,USA_vittime-annuali_2018-2024.csv,aggregated data - reported fatalities by country-year,2026-07-07,
acled,ISR,2018-2024,ISR_vittime-annuali_2018-2024.csv,aggregated data - reported fatalities by country-year,2026-07-07,
acled,KOR,2018-2024,KOR_vittime-annuali_2018-2024.csv,aggregated data - reported fatalities by country-year,2026-07-07,
acled,SAU,2018-2024,SAU_vittime-annuali_2018-2024.csv,aggregated data - reported fatalities by country-year,2026-07-07,
acled,ITA,2018-2024,ITA_vittime-annuali_2018-2024.csv,aggregated data - reported fatalities by country-year,2026-07-07,
acled,EST,2018-2024,EST_vittime-annuali_2018-2024.csv,aggregated data - reported fatalities by country-year,2026-07-07,
acled,RUS,2018-2024,RUS_eventi-dettagliati_2018-2024.csv,API ACLED - eventi disaggregati con notes narrative,2026-07-07,
acled,CHN,2018-2024,CHN_eventi-dettagliati_2018-2024.csv,API ACLED - eventi disaggregati con notes narrative,2026-07-07,
acled,PRK,2018-2024,PRK_eventi-dettagliati_2018-2024.csv,API ACLED - eventi disaggregati con notes narrative,2026-07-07,
acled,IRN,2018-2024,IRN_eventi-dettagliati_2018-2024.csv,API ACLED - eventi disaggregati con notes narrative,2026-07-07,
acled,UKR,2018-2024,UKR_eventi-dettagliati_2018-2024.csv,API ACLED - eventi disaggregati con notes narrative,2026-07-07,
acled,SDN,2018-2024,SDN_eventi-dettagliati_2018-2024.csv,API ACLED - eventi disaggregati con notes narrative,2026-07-07,
acled,SSD,2018-2024,SSD_eventi-dettagliati_2018-2024.csv,API ACLED - eventi disaggregati con notes narrative,2026-07-07,
acled,YEM,2018-2024,YEM_eventi-dettagliati_2018-2024.csv,API ACLED - eventi disaggregati con notes narrative,2026-07-07,
acled,SYR,2018-2024,SYR_eventi-dettagliati_2018-2024.csv,API ACLED - eventi disaggregati con notes narrative,2026-07-07,
acled,ETH,2018-2024,ETH_eventi-dettagliati_2018-2024.csv,API ACLED - eventi disaggregati con notes narrative,2026-07-07,
acled,VEN,2018-2024,VEN_eventi-dettagliati_2018-2024.csv,API ACLED - eventi disaggregati con notes narrative,2026-07-07,
acled,USA,2018-2024,USA_eventi-dettagliati_2018-2024.csv,API ACLED - eventi disaggregati con notes narrative,2026-07-07,
acled,ISR,2018-2024,ISR_eventi-dettagliati_2018-2024.csv,API ACLED - eventi disaggregati con notes narrative,2026-07-07,
acled,KOR,2018-2024,KOR_eventi-dettagliati_2018-2024.csv,API ACLED - eventi disaggregati con notes narrative,2026-07-07,
acled,SAU,2018-2024,SAU_eventi-dettagliati_2018-2024.csv,API ACLED - eventi disaggregati con notes narrative,2026-07-07,
acled,ITA,2018-2024,ITA_eventi-dettagliati_2018-2024.csv,API ACLED - eventi disaggregati con notes narrative,2026-07-07,
acled,EST,2018-2024,EST_eventi-dettagliati_2018-2024.csv,API ACLED - eventi disaggregati con notes narrative,2026-07-07,
unhcr,RUS,2018-2024,RUS_flusso-uscita-annuale_2018-2024.csv,"API UNHCR - population, coo aggregato su tutte le destinazioni",2026-07-07,
unhcr,RUS,2018-2024,RUS_destinazioni-dettaglio_2018-2024.csv,"API UNHCR - population, coa_all=true (dettaglio per paese destinazione)",2026-07-07,
unhcr,CHN,2018-2024,CHN_flusso-uscita-annuale_2018-2024.csv,"API UNHCR - population, coo aggregato su tutte le destinazioni",2026-07-07,
unhcr,CHN,2018-2024,CHN_destinazioni-dettaglio_2018-2024.csv,"API UNHCR - population, coa_all=true (dettaglio per paese destinazione)",2026-07-07,
unhcr,PRK,2018-2024,PRK_flusso-uscita-annuale_2018-2024.csv,"API UNHCR - population, coo aggregato su tutte le destinazioni",2026-07-07,
unhcr,PRK,2018-2024,PRK_destinazioni-dettaglio_2018-2024.csv,"API UNHCR - population, coa_all=true (dettaglio per paese destinazione)",2026-07-07,
unhcr,IRN,2018-2024,IRN_flusso-uscita-annuale_2018-2024.csv,"API UNHCR - population, coo aggregato su tutte le destinazioni",2026-07-07,
unhcr,IRN,2018-2024,IRN_destinazioni-dettaglio_2018-2024.csv,"API UNHCR - population, coa_all=true (dettaglio per paese destinazione)",2026-07-07,
unhcr,UKR,2018-2024,UKR_flusso-uscita-annuale_2018-2024.csv,"API UNHCR - population, coo aggregato su tutte le destinazioni",2026-07-07,
unhcr,UKR,2018-2024,UKR_destinazioni-dettaglio_2018-2024.csv,"API UNHCR - population, coa_all=true (dettaglio per paese destinazione)",2026-07-07,
unhcr,SDN,2018-2024,SDN_flusso-uscita-annuale_2018-2024.csv,"API UNHCR - population, coo aggregato su tutte le destinazioni",2026-07-07,
unhcr,SDN,2018-2024,SDN_destinazioni-dettaglio_2018-2024.csv,"API UNHCR - population, coa_all=true (dettaglio per paese destinazione)",2026-07-07,
unhcr,SSD,2018-2024,SSD_flusso-uscita-annuale_2018-2024.csv,"API UNHCR - population, coo aggregato su tutte le destinazioni",2026-07-07,
unhcr,SSD,2018-2024,SSD_destinazioni-dettaglio_2018-2024.csv,"API UNHCR - population, coa_all=true (dettaglio per paese destinazione)",2026-07-07,
unhcr,YEM,2018-2024,YEM_flusso-uscita-annuale_2018-2024.csv,"API UNHCR - population, coo aggregato su tutte le destinazioni",2026-07-07,
unhcr,YEM,2018-2024,YEM_destinazioni-dettaglio_2018-2024.csv,"API UNHCR - population, coa_all=true (dettaglio per paese destinazione)",2026-07-07,
unhcr,SYR,2018-2024,SYR_flusso-uscita-annuale_2018-2024.csv,"API UNHCR - population, coo aggregato su tutte le destinazioni",2026-07-07,
unhcr,SYR,2018-2024,SYR_destinazioni-dettaglio_2018-2024.csv,"API UNHCR - population, coa_all=true (dettaglio per paese destinazione)",2026-07-07,
unhcr,ETH,2018-2024,ETH_flusso-uscita-annuale_2018-2024.csv,"API UNHCR - population, coo aggregato su tutte le destinazioni",2026-07-07,
unhcr,ETH,2018-2024,ETH_destinazioni-dettaglio_2018-2024.csv,"API UNHCR - population, coa_all=true (dettaglio per paese destinazione)",2026-07-07,
unhcr,VEN,2018-2024,VEN_flusso-uscita-annuale_2018-2024.csv,"API UNHCR - population, coo aggregato su tutte le destinazioni",2026-07-07,
unhcr,VEN,2018-2024,VEN_destinazioni-dettaglio_2018-2024.csv,"API UNHCR - population, coa_all=true (dettaglio per paese destinazione)",2026-07-07,
unhcr,USA,2018-2024,USA_flusso-uscita-annuale_2018-2024.csv,"API UNHCR - population, coo aggregato su tutte le destinazioni",2026-07-07,
unhcr,USA,2018-2024,USA_destinazioni-dettaglio_2018-2024.csv,"API UNHCR - population, coa_all=true (dettaglio per paese destinazione)",2026-07-07,
