event_date,year,event_type,sub_event_type,actor1,actor2,country,admin1,notes,fatalities,PERIODO
2020-06-29,2020,Violence against civilians,Attack,Unidentified Armed Group (Ethiopia),Civilians (Ethiopia),Ethiopia,Addis Ababa,"On 29 June 2020, unidentified armed men shot and killed a popular Oromo musician near the Gelan Condominium site in Akaki/Kaliti (Addis Ababa). This incident led to civil unrest in the area.",1,2020-Q2
2020-03-26,2020,Protests,Excessive force against protesters,Protesters (Ethiopia),Police Forces of Ethiopia (2018-),Ethiopia,Sidama,"On 26 March 2020, students from the Hawassa university's extension in Yirga Alem protested after university officials cancelled transportation assistance after the university was shut down due to coronavirus. As many as 50 students were treated for injuries after police forces intervened to break up the protest and at least one student was shot. No fatalities.",0,2020-Q1
2020-12-08,2020,Violence against civilians,Attack,Unidentified Ethnic Militia (Ethiopia),Civilians (Ethiopia),Ethiopia,Benshangul/Gumuz,"On 8 December 2020, unidentified armed men attacked ethnic Amhara in Dibate (Benshangul-Gumaz) as they attempted to gather harvests. 10 civilians were killed, all ethnic Amhara. Some Amhara groups blamed elements of the Oromo Liberation Army, although government sources deny this allegation.",10,2020-Q4
2020-02-25,2020,Explosions/Remote violence,Grenade,Unidentified Armed Group (Ethiopia),Police Forces of Ethiopia (2018-),Ethiopia,Oromia,"On 25 February 2020, a hand grenade was thrown by unidentified attackers at a police station in Ginchi, Oromia region. 2 officers were later treated for smoke inhalation, but no major injuries were reported.",0,2020-Q1
2020-08-18,2020,Protests,Excessive force against protesters,Protesters (Ethiopia),Military Forces of Ethiopia (2018-),Ethiopia,Oromia,"On 18 August 2020, Ethiopian military forces opened fire on protesters in Shashemene town, killing an unspecified number across two days of demonstrations. Protesters were denouncing the arrest of many Oromo leaders, amid rumors that many had contracted the coronavirus. The demonstration has been ongoing for the second day. Unknown fatalities coded as 3 and spread across two days.",2,2020-Q3
2020-08-17,2020,Protests,Excessive force against protesters,Protesters (Ethiopia),Military Forces of Ethiopia (2018-),Ethiopia,Oromia,"On 17 August 2020, Ethiopian military forces opened fire on protesters in Shashemene town, killing an unspecified number across two days of demonstrations. Protesters were denouncing the arrest of many Oromo leaders, amid rumors that many had contracted coronavirus. Unknown fatalities coded as 3 and spread across two days.",1,2020-Q3
2020-08-24,2020,Violence against civilians,Attack,Police Forces of Ethiopia (2018-),Civilians (Ethiopia),Ethiopia,Oromia,"Around 24 August 2020 (as reported), a Muslim scholar in was shot and injured by security forces in Sheshamene. A second person (a student at the mosque) was also hurt in the incident.",0,2020-Q3
2020-11-16,2020,Battles,Armed clash,Military Forces of Ethiopia (2018-),Unidentified Ethnic Militia (Ethiopia),Ethiopia,Benshangul/Gumuz,"On 16 November 2020, Ethiopian military forces engaged unidentified armed militants in Dibate, Benishangul, killing 20.",20,2020-Q4
2019-03-07,2019,Protests,Peaceful protest,Protesters (Ethiopia),,Ethiopia,Oromia,"07 March: Hundreds of people in Shashamane city protested after the Addis Ababa City Administration Savings & Houses Development Enterprise (AASHDE) handed over thousands of condominium houses located both in the city, and in Oromia regional state special zone. The protesters demanded that the condominium houses built in Oromia region should be given to displaced Oromo farmers.",0,2019-Q1
2019-03-07,2019,Protests,Peaceful protest,Protesters (Ethiopia),,Ethiopia,Oromia,"07 March: Hundreds of people in Asela city protested after the Addis Ababa City Administration Savings & Houses Development Enterprise (AASHDE) handed over thousands of condominium houses located both in the city, and in Oromia regional state special zone. The protesters demanded that the condominium houses built in Oromia region should be given to displaced Oromo farmers.",0,2019-Q1
2018-01-22,2018,Protests,Peaceful protest,Protesters (Ethiopia),,Ethiopia,Amhara,Anti-TPLF protests in Kobo. ,0,2018-Q1
2018-12-17,2018,Violence against civilians,Attack,Military Forces of Ethiopia (2018-),Civilians (Ethiopia),Ethiopia,Oromia,"17 December: In Moyale town, Borana zone, Ethiopian Military Forces killed at least a dozen civilians while meeting with regional security forces.",12,2018-Q4
2020-08-19,2020,Protests,Excessive force against protesters,Protesters (Ethiopia),Military Forces of Ethiopia (2018-),Ethiopia,Oromia,"On 19 August 2020, for a third day, Ethiopian security forces opened fire on protesters in Haro Maya, killing 2 and wounding 26 others. Protesters were denouncing the arrest of many Oromo leaders, amid rumors that many had contracted coronavirus in detention.",2,2020-Q3
2020-10-08,2020,Battles,Armed clash,Unidentified Armed Group (Ethiopia),Military Forces of Ethiopia (2018-),Ethiopia,Amhara,"On 8 October 2020, Ethiopian federal military forces clashed with unidentified armed groups responsible for killing civilians in the Dangur woreda area, Benishangul, killing 14 and arresting 2 more.",14,2020-Q4
2020-01-28,2020,Protests,Peaceful protest,Protesters (Ethiopia),,Ethiopia,Amhara,"28 January 2020: Demonstrators gathered across Amhara region, denouncing the recent kidnap and government mismanagement of information in a case where 21 ethnically Amharic students were taken from a bus as they left Dembi Dolo university. Protests took place in Debre Markos, Woldia, Debre Birhan, and Bahir Dar.",0,2020-Q1
2020-01-28,2020,Violence against civilians,Attack,Military Forces of Ethiopia (2018-),Civilians (Ethiopia),Ethiopia,Oromia,"On 28 January 2020, federal soldiers shot and killed a civilian man near Mugi town, West Wollegga.",1,2020-Q1
2020-11-26,2020,Violence against civilians,Attack,Unidentified Ethnic Militia (Ethiopia),Civilians (Ethiopia),Ethiopia,Amhara,"Around 26 November 2020 (as reported), unidentified armed men from an ethnic militia attacked ethnic minorities in Bulen, Dibate, Mandura, and Dangur (Benishangul/Gumz) woredas, killing an unspecified number. Unknown fatalities in an active conflict zone coded as 10 and spread across 4 locations.",3,2020-Q4
2020-11-30,2020,Violence against civilians,Attack,Unidentified Ethnic Militia (Ethiopia),Civilians (Ethiopia),Ethiopia,Benshangul/Gumuz,"On 30 November 2020, armed men from an unidentified ethnic group shot at a bus near Gilgel Belles, Benishangul/Gumz. No injuries were reported.",0,2020-Q4
2020-08-18,2020,Protests,Protest with intervention,Protesters (Ethiopia),Military Forces of Ethiopia (2018-),Ethiopia,Oromia,"On 18 August 2020, Oromia regional special forces forcibly dispersed demonstrators who were blocking roads (using unspecified means) in Bale Robe (Bale, Oromia), following reports that Oromo leaders had contracted coronavirus in detention. No injuries or fatalities reported.",0,2020-Q3
2020-01-05,2020,Violence against civilians,Attack,Unidentified Armed Group (Ethiopia),Civilians (Ethiopia),Ethiopia,Amhara,"On the weekend of 5 January 2020: A road construction manager was shot and killed by unidentified armed men in Soreka city, Metema Woreda, of Gonder zone.",1,2020-Q1
2020-12-02,2020,Violence against civilians,Attack,Unidentified Ethnic Militia (Ethiopia),Civilians (Ethiopia),Ethiopia,Benshangul/Gumuz,"On 2 December 2020, gunmen from an unidentified armed ethnic group opened fire on a bus as it traveled from Chigna to Gilgel Belles (Meteke, Benishangul/Gumz), wounding 7.",0,2020-Q4
2020-01-21,2020,Violence against civilians,Attack,Military Forces of Ethiopia (2018-),Civilians (Ethiopia),Ethiopia,Oromia,"On 21 January 2020, 5 civilian men were shot and killed execution-style by federal troops in Dolla, near Mugi, west Wollega.",5,2020-Q1
2020-10-06,2020,Violence against civilians,Attack,Unidentified Armed Group (Ethiopia),Civilians (Ethiopia),Ethiopia,Amhara,"On 6 October 2020, unidentified armed men attacked civilians in Dangur Woreda, Metekal, killing 14 and wounding 8 more. One of the killed was reportedly a Chinese national.",14,2020-Q4
2020-06-13,2020,Riots,Violent demonstration,Rioters (Ethiopia),Police Forces of Ethiopia (2018-) Oromia State Police,Ethiopia,Oromia,"On 13 June 2020, Oromia regional state police forces used tear gas to disperse rioters who closed roads in Dinsho (Bale) after the killing of a young man earlier in the week.",0,2020-Q2
2020-01-10,2020,Protests,Excessive force against protesters,Protesters (Ethiopia),Police Forces of Ethiopia (2018-),Ethiopia,Oromia,"10 January 2020: Security forces fired on protesting students at Bule Hora university, killing one and injuring at least 12 others. Protesters were demonstrating against action taken by military forces in West Wollega.",1,2020-Q1
2019-11-12,2019,Protests,Peaceful protest,Protesters (Ethiopia),,Ethiopia,Oromia,"On 12 November 2019, in Ziway, students and residents demonstrated against the killing of two Oromo students in Woldiya University.",0,2019-Q4
2019-04-29,2019,Battles,Armed clash,Amhara Ethnic Militia (Ethiopia),Gumuz Ethnic Militia (Ethiopia),Ethiopia,Amhara,"29 April: Dozens of civilians shot dead in the ethnic clashes between Amhara and Gumuz ethnic militias. According the report, attack started by Amhara ethnic militias in retaliation for earlier violence in Gumuz region. Fatalities coded as 12.",12,2019-Q2
2018-03-03,2018,Protests,Peaceful protest,Protesters (Ethiopia),,Ethiopia,Oromia,03 March. Anti-government protests in Ginchi on 03/03 and 04/03.,0,2018-Q1
2018-02-13,2018,Riots,Violent demonstration,Rioters (Ethiopia),,Ethiopia,Oromia,"Residents of an Addis Abeba suburb (Lege Tafo) hold a anti-government demonstration, burn tyres. The demonstration began the previous day. ",0,2018-Q1
2020-07-27,2020,Violence against civilians,Attack,Unidentified Ethnic Militia (Ethiopia),Civilians (Ethiopia),Ethiopia,Benshangul/Gumuz,"On 27 July 2020, unidentified armed men attacked Amhara ethnic civilians in Guba Wereda of Metekel zone in Benishangul Gumuz regional state, killing 14 people.",14,2020-Q3
2018-03-04,2018,Protests,Peaceful protest,Protesters (Ethiopia),,Ethiopia,Oromia,04 March. Anti-government protests in Ambo on 03/03 and 04/03.,0,2018-Q1
2020-10-28,2020,Battles,Armed clash,Somali Ethnic Militia (Ethiopia),Afar Ethnic Militia (Ethiopia),Ethiopia,Somali,"On 28 October 2020, Somali and Afar ethnic militias clashed in Dan La Helay and Garba-Issa villages in Western Sitti zone (Somali), resulting in the deaths of 27 people. Clashes occurred as a result of territory conflict and cattle raids.",27,2020-Q4
